"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2007","177",,,,"29","T,0923","27","T,0607","36.08",",T",,,"42.7","T","50.5","T","34.9","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2008","227",,,,"32","T,0901","31","T,0612","44.41",",T",,,"40.1","T","47.8","T","32.4","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2009","200",,,,"22","T,0930","26","T,0513","41.26",",T",,,"40.8","T","48.4","T","33.2","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2010","220",,,,"22","T,1025","30","T,0617","47.82",",T",,,"40.8","T","48.5","T","33.2","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2011","234",,,,"29","T,1005","28","T,0603","47.14",",T",,,"40.0","T","47.7","T","32.3","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2012","191",,,,,,,,"33.13",",T",,,,,,,,
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2013","212",,,,"29","T,0925","31","T,0523","31.94",",T",,,"41.1","T","48.9","T","33.4","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2014","195",,,,"29","T,1001","28","T,0618","41.87",",T",,,"42.2","T","49.4","T","34.9","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2015","175",,,,"31","T,1027","29","T,0516","32.73",",T",,,"43.5","T","51.1","T","36.0","T"
"USS0011J65S","MILL D NORTH, UT US","40.66","-111.64","2733.1","2016","197",,,,"32","T,0923","30","T,0522","36.15",",T",,,"43.3","T","51.0","T","35.5","T"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2007",,,,,"32","0,0929","31","0,0523","22.13",",0",,,"49.9","0","63.4","0","36.4","0"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2009","108",,"37","0","28","0,1001","32","0,0513","30.69",",0","135.6",",0","47.9","0","60.5","0","35.2","0"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2010","78",,"35","0","31","0,1013","32","0,0524","30.68",",0","127.4",",0","48.5","0","60.8","0","36.2","0"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2011","64",,"31","7","32","7,1006","32","7,0530",,,"104.5",",7","47.4","7","59.4","7","35.3","7"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2012",,,,,"31","7,1005","29","7,0506",,,,,"51.1","7","64.3","7","37.8","7"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2013",,,,,"32","7,0928","32","7,0523","18.23",",7",,,"47.6","7","60.3","7","34.8","7"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2014","45",,"21","7","31","7,1022","28","7,0513","24.19",",7","67.5",",7","50.4","7","63.0","7","37.8","7"
"USC00421446","CITY CREEK WATER PLANT, UT US","40.8397","-111.8313","1624.6","2016","80",,"24","7",,,,,,,"91.9",",7",,,,,,
